PWSID,Supply Name,Status Explanation,Status Short
MI0005220,"PECK, VILLAGE OF"," Inventory completed, no lead lines identified ",
MI0005233,PENINSULA TOWNSHIP," Inventory completed, no lead lines identified ",
MI0003030,"HARRISON, CITY OF"," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0004570,MUSKEGON," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0005235,PENNY LAKE ESTATES SUBDIVISION," Inventory completed, no lead lines identified ",
MI0002310,"FLINT, CITY OF"," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0001750,DECATUR," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0002550,GARDEN CITY," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0005268,PERE MARQUETTE TWP - WELLS," Inventory completed, no lead lines identified ",
MI0003140,HIGHLAND PARK," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0002630,GIBRALTAR," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0005290,PETERSBURG," Inventory completed, no lead lines identified ",
MI0005305,PETOSKEY PARK APARTMENTS," Inventory completed, no lead lines identified ",
MI0005530,PORTLAND," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0003360,INKSTER," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0005315,PHEASANT RUN MANOR APARTMENTS," Inventory completed, no lead lines identified ",
MI0040494,PHELPS MOBILE HOME VILLA," Inventory completed, no lead lines identified ",
MI0040086,PHOENIX MOBILE HOME COURT," Inventory completed, no lead lines identified ",
MI0005390,PLEASANT RIDGE," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0005322,"PINCKNEY, VILLAGE OF"," Inventory completed, no lead lines identified ",
MI0005335,PINCONNING TOWNSHIP," Inventory completed, no lead lines identified ",
MI0006260,"ST. CHARLES, VILLAGE OF"," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0040525,PINE ACRES MOBILE HOME PARK," Inventory completed, no lead lines identified ",
MI0040481,PINE CREST MOBILE HOME PARK," Inventory completed, no lead lines identified ",
MI0003319,HURON SHORE REGIONAL UTILITY AUTHORITY,No service lines; wholesale only,No service lines; wholesale only
MI0040577,PINE ISLAND LAKE REC PARK," Inventory completed, no lead lines identified ",
MI0002000,"PINE KNOLL APARTMENTS, LLC"," Inventory completed, no lead lines identified ",
MI0040670,PINE LAKES MANUFACTURED HOMES," Inventory completed, no lead lines identified ",
MI0040603,"PINE RIDGE COMMUNITY, INC."," Inventory completed, no lead lines identified ",
MI0040601,PINE RIDGE MOBILE HOME COMMUNITY," Inventory completed, no lead lines identified ",
MI0040672,PINE RIVER RIDGE," Inventory completed, no lead lines identified ",
MI0003628,KIMBALL TOWNSHIP,Inventory not received or data not complete,Inventory not received or incomplete
MI0040210,PINE VIEW MOBILE HOME PARK," Inventory completed, no lead lines identified ",
MI0005345,PINECREST APARTMENTS," Inventory completed, no lead lines identified ",
MI0005353,PINEHURST APARTMENTS," Inventory completed, no lead lines identified ",
MI0005351,PINEVIEW HOMES," Inventory completed, no lead lines identified ",
MI0040464,PINEWOOD ON THE LAKE MHP," Inventory completed, no lead lines identified ",
MI0005355,PIRATES COVE CONDOMINIUMS," Inventory completed, no lead lines identified ",
MI0005360,PITTSFIELD TOWNSHIP," Inventory completed, no lead lines identified ",
MI0005370,PLAINFIELD TOWNSHIP," Inventory completed, no lead lines identified ",
MI0005380,PLAINWELL," Inventory completed, no lead lines identified ",
MI0060695,PLAINWELL PINES H C F," Inventory completed, no lead lines identified ",
MI0040167,PLEASANT BEACH MOBILE HOME RESORT," Inventory completed, no lead lines identified ",
MI0040504,PLEASANT LAKE PARK LLC," Inventory completed, no lead lines identified ",
MI0007100,WHITEHALL," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0005397,PLUM CREEK SUB," Inventory completed, no lead lines identified ",
MI0003700,"LAKE CITY, CITY OF"," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0004580,MUSKEGON HEIGHTS," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0005425,POINT NIPIGON RESORT," Inventory completed, no lead lines identified ",
MI0005430,POINTE AUX BARQUES TOWNSHIP," Inventory completed, no lead lines identified ",
MI0005980,"SCOTTVILLE, CITY OF"," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0004010,MANCELONA AREA WATER AND SEWER AUTHORITY," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0005460,PORT AUSTIN AREA SEWER & WATER," Inventory completed, no lead lines identified ",
MI0005475,PORT HOPE-GORE-RUBICON U. A.," Inventory completed, no lead lines identified ",
MI0004240,MENDON," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0004170,"MASON, CITY OF"," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0040491,PORT OF CALL - WEST," Inventory completed, no lead lines identified ",
MI0005500,"PORT SANILAC, VILLAGE OF"," Inventory completed, no lead lines identified ",
MI0001220,"CASS CITY, VILLAGE OF"," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0005520,PORTAGE," Inventory completed, no lead lines identified ",
MI0005527,PORTAGE POINT INN," Inventory completed, no lead lines identified ",
MI0040253,PORTAGE TERRACE," Inventory completed, no lead lines identified ",
MI0002750,GRAND HAVEN," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0001340,"CHARLOTTE, CITY OF"," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0005540,PORTSMOUTH TOWNSHIP," Inventory completed, no lead lines identified ",
MI0005543,"POSEN, VILLAGE OF"," Inventory completed, no lead lines identified ",
MI0005550,"POTTERVILLE, CITY OF"," Inventory completed, no lead lines identified ",
MI0000930,BROWN CITY," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0005563,POWERS-SPALDING WATER AUTHORITY," Inventory completed, no lead lines identified ",
MI0005566,PRAIRIE VILLAGE APARTMENTS," Inventory completed, no lead lines identified ",
MI0002619,PRENTIS ESTATES APARTMENTS," Inventory completed, no lead lines identified ",
MI0005570,PRESCOTT-HIDDEN CREEK MANOR," Inventory completed, no lead lines identified ",
MI0002050,ECORSE," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0040490,PROSPECT MANOR MHC," Inventory completed, no lead lines identified ",
MI0040181,KYCA COMMUNITY,Inventory not received or data not complete,Inventory not received or incomplete
MI0004120,MARQUETTE," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0007070,WHITE PIGEON," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0040021,RABBIT RIVER ESTATES," Inventory completed, no lead lines identified ",
MI0005607,RAPID RIVER MEADOWS," Inventory completed, no lead lines identified ",
MI0005610,RAVENNA," Inventory completed, no lead lines identified ",
MI0002430,"FRANKFORT, CITY OF"," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0002785,GRAND POINTE SUBDIVISION," Inventory completed, no lead lines identified ",
MI0002340,"FLUSHING, CITY OF"," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0067101,REGENCY AT WHITMORE LAKE," Inventory completed, no lead lines identified ",
MI0005655,REMUS APARTMENT COMPANY," Inventory completed, no lead lines identified ",
MI0004100,"MARION, VILLAGE OF"," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0000048,RICHLYN MANOR," Inventory completed, no lead lines identified ",
MI0040100,MARLIN VILLAGE MOBILE HOME PARK,Inventory not received or data not complete,Inventory not received or incomplete
MI0005267,PERE MARQUETTE TWP - CUSTOMER," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0000838,RIDGE VALLEY OF MILFORD," Inventory completed, no lead lines identified ",
MI0005673,RIDGEWAY," Inventory completed, no lead lines identified ",
MI0040671,RIDGEWOOD MOBILE HOME PARK INC," Inventory completed, no lead lines identified ",
MI0005675,RIGA TOWNSHIP," Inventory completed, no lead lines identified ",
MI0040663,RIVER RIDGE - SALINE," Inventory completed, no lead lines identified ",
MI0000390,BANGOR TOWNSHIP," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0005692,RIVERBROOKE HOME OWNERS ASSOCIATION," Inventory completed, no lead lines identified ",
MI0004095,RIVERFRONT CONDOS OF NILES," Inventory completed, no lead lines identified ",
MI0040515,RIVERSBEND MOBILE HOME PARK," Inventory completed, no lead lines identified ",
MI0040030,RIVERSIDE ESTATES," Inventory completed, no lead lines identified ",
MI0040065,RIVERSIDE ESTATES," Inventory completed, no lead lines identified ",
MI0000260,ATHENS," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0040191,RIVERVIEW ESTATES," Inventory completed, no lead lines identified ",
MI0040288,RIVERVIEW MOBILE VILLAGE," Inventory completed, no lead lines identified ",
MI0005712,RIVERWALK DEVELOPMENT," Inventory completed, no lead lines identified ",
MI0001960,EAST GRAND RAPIDS," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0005723,ROCHESTER EAST," Inventory completed, no lead lines identified ",
MI0000325,ROCHESTER HILLS," Inventory completed, no lead lines identified ",
MI0005730,ROCKFORD," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0005800,ROOSEVELT PARK," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0002960,HAMPTON TOWNSHIP," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0005770,"ROGERS CITY, CITY OF"," Inventory completed, no lead lines identified ",
MI0005775,ROLLING MEADOWS WATER ASSN.," Inventory completed, no lead lines identified ",
MI0006650,TRENTON," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0003640,KINGSFORD," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0002890,GROSSE POINTE FARMS," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0006800,VICKSBURG," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0005815,"ROSE CITY, CITY OF"," Inventory completed, no lead lines identified ",
MI0005816,ROSE HILL CENTER," Inventory completed, no lead lines identified ",
MI0040472,MICHIANA MOBILE HOME PARK,Inventory not received or data not complete,Inventory not received or incomplete
MI0005824,ROSEBUSH MANOR," Inventory completed, no lead lines identified ",
MI0005821,ROSEVILLE APARTMENTS," Inventory completed, no lead lines identified ",
MI0006640,TRAVERSE CITY,"Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0040307,ROUND LAKE ESTATES," Inventory completed, no lead lines identified ",
MI0040255,ROYAL ESTATES," Inventory completed, no lead lines identified ",
MI0004360,MIDDLEVILLE,"Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0003120,HERMANSVILLE HOUSING COMM.," Inventory completed, no lead lines identified ",
MI0005841,ROYAL VIEW RETIREMENT VILLAGE," Inventory completed, no lead lines identified ",
MI0005844,RUDYARD TOWNSHIP," Inventory completed, no lead lines identified ",
MI0002480,FREEPORT,"Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0040495,RUSH LAKE MHP/CAMPGROUND," Inventory completed, no lead lines identified ",
MI0040104,RUSTIC ACRES PARK," Inventory completed, no lead lines identified ",
MI0005849,SADDLE RIDGE CONDO ASSOC.," Inventory completed, no lead lines identified ",
MI0005860,SAGINAW CHARTER TOWNSHIP," Inventory completed, no lead lines identified ",
MI0005120,"OWOSSO, CITY OF","Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0007015,"MIDTOWN FLATS, LLC",Inventory not received or data not complete,Inventory not received or incomplete
MI0003550,"KALEVA, VILLAGE OF","Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0005901,SALINE VALLEY FARMS," Inventory completed, no lead lines identified ",
MI0005903,SAND BEACH TOWNSHIP," Inventory completed, no lead lines identified ",
MI0005907,SAND LAKE," Inventory completed, no lead lines identified ",
MI0040592,SANDHILL ESTATES," Inventory completed, no lead lines identified ",
MI0005905,SANDHILL MANOR," Inventory completed, no lead lines identified ",
MI0040447,SANDPIPER ESTATES," Inventory completed, no lead lines identified ",
MI0005920,"SANDUSKY, CITY OF",100% replaced,100% replaced
MI0005840,ROYAL OAK TOWNSHIP,"Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0005925,SANILAC TOWNSHIP," Inventory completed, no lead lines identified ",
MI0040013,SAPPHIRE ESTATES MOBILE HOME PARK," Inventory completed, no lead lines identified ",
MI0004220,MELVINDALE,"Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0040575,SASHABAW MEADOWS MHP," Inventory completed, no lead lines identified ",
MI0002790,GRAND RAPIDS,"Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0002260,FENNVILLE,"Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0005977,SCIO TOWNSHIP," Inventory completed, no lead lines identified ",
MI0002870,GROSSE ILE TOWNSHIP,"Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0005990,SEBEWAING LIGHT & WATER," Inventory completed, no lead lines identified ",
MI0040168,SECORD LAKE MHP," Inventory completed, no lead lines identified ",
MI0040024,SELKIRK LAKE MOBILE HOME PARK," Inventory completed, no lead lines identified ",
MI0005991,SENEY TOWNSHIP," Inventory completed, no lead lines identified ",
MI0040152,MONTROSE TRAILER PARK,Inventory not received or data not complete,Inventory not received or incomplete
MI0040025,"SHADY ACRES COMMUNITY, LLC"," Inventory completed, no lead lines identified ",
MI0040496,SHADY BROOK MOBILE HOME PARK," Inventory completed, no lead lines identified ",
MI0040026,SHANGRAI-LA VILLAGE," Inventory completed, no lead lines identified ",
MI0005995,SHANTY CREEK - WATARS ASSOCIATION," Inventory completed, no lead lines identified ",
MI0001073,SHAWONO CENTER - DHS," Inventory completed, no lead lines identified ",
MI0004850,NORTON SHORES,"Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0006010,SHELBY TOWNSHIP," Inventory completed, no lead lines identified ",
MI0004450,MONROE,"Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0002170,ESCANABA,"Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0003170,HILLSDALE,"Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0040351,SHERIDAN ESTATES," Inventory completed, no lead lines identified ",
MI0040242,SHERMAN OAKS," Inventory completed, no lead lines identified ",
MI0004250,MENOMINEE,"Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0003837,LEONI TOWNSHIP," Inventory completed, no lead lines identified ",
MI0001500,COLDWATER,"Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0040519,SILVER CREEK ESTATES MOBILE HOME COURT," Inventory completed, no lead lines identified ",
MI0040322,SILVER LAKE MOBILE HOME PARK," Inventory completed, no lead lines identified ",
MI0040175,SILVER LAKE VIEW MOBILE HOME PARK," Inventory completed, no lead lines identified ",
MI0006071,"SILVER LAKE WATER AUTHORITY, INC."," Inventory completed, no lead lines identified ",
MI0040176,SILVER SHORES MOBILE HOME PARK," Inventory completed, no lead lines identified ",
MI0006073,SIMS-WHITNEY UTILITIES AUTH.," Inventory completed, no lead lines identified ",
MI0006074,"SISTERS OF MARY, MOTHER OF EUCHARIST"," Inventory completed, no lead lines identified ",
MI0006075,SKANDIA-WEST BRANCH WATER DEPT," Inventory completed, no lead lines identified ",
MI0006079,SODUS TOWNSHIP," Inventory completed, no lead lines identified ",
MI0040184,SOMERSET CENTRE ESTATES," Inventory completed, no lead lines identified ",
MI0040076,SOMERSET MOBILE HOME PARK," Inventory completed, no lead lines identified ",
MI0006081,"SOMMERSET WATER WORKS, INC."," Inventory completed, no lead lines identified ",
MI0002280,FERNDALE,"Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0002970,HAMTRAMCK,"Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0006310,ST JOSEPH,"Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0006115,SOUTH POINTE I APARTMENTS," Inventory completed, no lead lines identified ",
MI0006116,SOUTH POINTE II APARTMENTS," Inventory completed, no lead lines identified ",
MI0006117,SOUTH POINTE III APARTMENTS," Inventory completed, no lead lines identified ",
MI0006120,SOUTH RANGE," Inventory completed, no lead lines identified ",
MI0006130,SOUTH ROCKWOOD," Inventory completed, no lead lines identified ",
MI0004990,"OLIVET, CITY OF","Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0004877,SOUTHEAST OAKLAND TOWNSHIP," Inventory completed, no lead lines identified ",
MI0040452,MOON LAKE ESTATES,Inventory not received or data not complete,Inventory not received or incomplete
MI0006350,"STANDISH, CITY OF","Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0002270,"FENTON, CITY OF","Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0040060,SOUTHTOWN MHP," Inventory completed, no lead lines identified ",
MI0005710,RIVERVIEW,"Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0004878,SOUTHWEST OAKLAND TOWNSHIP," Inventory completed, no lead lines identified ",
MI0004670,"NEW BALTIMORE, CITY OF","Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0006210,SPAULDING TOWNSHIP," Inventory completed, no lead lines identified ",
MI0000120,ALLEGAN,"Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0006232,SPRING LAKE CLUB CONDOMINIUMS," Inventory completed, no lead lines identified ",
MI0006235,SPRING LAKE TOWNSHIP," Inventory completed, no lead lines identified ",
MI0001470,CLINTON,"Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0040327,SPRINGBROOK ESTATES MHC," Inventory completed, no lead lines identified ",
MI0002300,FLAT ROCK,"Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0006250,SPRINGPORT," Inventory completed, no lead lines identified ",
MI0040397,SPRINGROVE MHC," Inventory completed, no lead lines identified ",
MI0003749,SPRINGS/PORTSMOUTH APARTMENTS," Inventory completed, no lead lines identified ",
MI0006370,SPSM," Inventory completed, no lead lines identified ",
MI0005830,"ROYAL OAK, CITY OF","Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0006545,TAYLOR,"Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0003740,"LAKE ORION, VILLAGE OF","Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0003420,IRONWOOD,"Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0000470,"BAY CITY, CITY OF","Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0006280,"ST. CLAIR SHORES, CITY OF","Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0005580,QUINCY,"Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0000485,BAY CO. DEPT OF WATER & SEWER,"Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0006325,ST. LOUIS CENTER," Inventory completed, no lead lines identified ",
MI0000590,"BELLEVUE, VILLAGE OF","Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0002230,"FARMINGTON, CITY OF","Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0000130,ALLEN PARK,"Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0000560,BELDING,"Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0005010,"ONAWAY, CITY OF","Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0005850,"SAGINAW, CITY OF","Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0040323,STARLIGHT MOBILE HOME PARK," Inventory completed, no lead lines identified ",
MI0006380,STEPHENSON," Inventory completed, no lead lines identified ",
MI0006200,SPARTA,"Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0006830,WAKEFIELD,"Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0040443,STODDARD MOBILE HOME COURT," Inventory completed, no lead lines identified ",
MI0006423,STONE RIDGE," Inventory completed, no lead lines identified ",
MI0040199,STONEGATE MOBILE HOME COMMUNITY," Inventory completed, no lead lines identified ",
MI0006428,"STONEHEDGE CLUB OWNERS ASSOCIATION, INC."," Inventory completed, no lead lines identified ",
MI0003520,KALAMAZOO,"Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0040177,SUBURBAN ESTATES MHP," Inventory completed, no lead lines identified ",
MI0006446,SUGAR LOAF TOWNHOUSES," Inventory completed, no lead lines identified ",
MI0060640,COREWELL HEALTH-BERRIEN CNTR,Inventory not received or data not complete,Inventory not received or incomplete
MI0040284,PARKWOOD GREEN,Inventory not received or data not complete,Inventory not received or incomplete
MI0040187,SUMMER WOOD ESTATES," Inventory completed, no lead lines identified ",
MI0006448,SUMMERSET MEADOWS," Inventory completed, no lead lines identified ",
MI0006450,SUMMIT TOWNSHIP," Inventory completed, no lead lines identified ",
MI0006460,SUMPTER TOWNSHIP," Inventory completed, no lead lines identified ",
MI0006465,SUN MEADOWS APARTMENTS," Inventory completed, no lead lines identified ",
MI0006470,"SUNFIELD, VILLAGE OF"," Inventory completed, no lead lines identified ",
MI0006480,SUNNYDALE GARDENS WATER ASSOCIATION," Inventory completed, no lead lines identified ",
MI0040466,SUNRISE MHP," Inventory completed, no lead lines identified ",
MI0006484,SUNSET BEACH ASSOCIATION," Inventory completed, no lead lines identified ",
MI0040416,SUNSET ESTATES GAYLORD," Inventory completed, no lead lines identified ",
MI0040313,SUNSET MHP," Inventory completed, no lead lines identified ",
MI0040449,SUNSET MOBILE HOME PARK," Inventory completed, no lead lines identified ",
MI0040662,SUNSET RIDGE MHC," Inventory completed, no lead lines identified ",
MI0040653,SUNSET SHORES," Inventory completed, no lead lines identified ",
MI0003840,"LESLIE, CITY OF","Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0000880,SUPERIOR TOWNSHIP," Inventory completed, no lead lines identified ",
MI0006490,SUPERIOR TOWNSHIP," Inventory completed, no lead lines identified ",
MI0004470,MONTAGUE,"Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0006502,SWAN CREEK TOWNSHIP," Inventory completed, no lead lines identified ",
MI0040609,PINE HAVEN ESTATES MHC,Inventory not received or data not complete,Inventory not received or incomplete
MI0040164,SWARTZ CREEK MEADOWS," Inventory completed, no lead lines identified ",
MI0006505,"SWARTZ CREEK, CITY OF"," Inventory completed, no lead lines identified ",
MI0040474,SWEET LAKE MOBILE HOME PARK," Inventory completed, no lead lines identified ",
MI0006508,SWIFT LAKE FARMS," Inventory completed, no lead lines identified ",
MI0040314,SYLVAN GLEN ESTATES," Inventory completed, no lead lines identified ",
MI0002820,GRANDVILLE,"Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0006531,SYLVAN TOWNSHIP," Inventory completed, no lead lines identified ",
MI0007085,T.J. WHITE PINE MANOR APARTMENTS," Inventory completed, no lead lines identified ",
MI0006532,TALL OAKS CONDOMINUMS," Inventory completed, no lead lines identified ",
MI0040426,TALLMADGE MEADOWS," Inventory completed, no lead lines identified ",
MI0040337,TAMARAC VILLAGE," Inventory completed, no lead lines identified ",
MI0006537,TANNERY CREEK CONDOMINUM ASSOCIATION," Inventory completed, no lead lines identified ",
MI0004390,"MILFORD, VILLAGE OF","Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0005020,ONSTED,"Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0006552,TAYMOUTH TOWNSHIP," Inventory completed, no lead lines identified ",
MI0000940,BROWNSTOWN TOWNSHIP,"Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0006562,TEKONSHA," Inventory completed, no lead lines identified ",
MI0006571,THE BLUFFS AT GULL LAKE," Inventory completed, no lead lines identified ",
MI0060937,THE LAURELS OF FULTON," Inventory completed, no lead lines identified ",
MI0003831,THE LEELANAU SCHOOL," Inventory completed, no lead lines identified ",
MI0006569,THE LIGHTHOUSE-TRAVERSE CITY LLC," Inventory completed, no lead lines identified ",
MI0005229,THE PENINSULA DEVELOPMENT LLC," Inventory completed, no lead lines identified ",
MI0040640,THE PINES," Inventory completed, no lead lines identified ",
MI0066695,THE PINES OF GOODRICH," Inventory completed, no lead lines identified ",
MI0066700,THE PORCHES," Inventory completed, no lead lines identified ",
MI0006574,THE SHORES ON CROOKED LAKE," Inventory completed, no lead lines identified ",
MI0064934,THE VILLA AT ROSE CITY," Inventory completed, no lead lines identified ",
MI0006580,THOMAS TOWNSHIP," Inventory completed, no lead lines identified ",
MI0001520,"COLEMAN, CITY OF","Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0006592,THORN CREEK CONDOMINIUMS," Inventory completed, no lead lines identified ",
MI0040047,THORNAPPLE LAKE ESTATES," Inventory completed, no lead lines identified ",
MI0060425,THORNAPPLE MANOR," Inventory completed, no lead lines identified ",
MI0006594,THORNTON FARMS," Inventory completed, no lead lines identified ",
MI0040497,THREE MILE LAKE TRAILER PARK," Inventory completed, no lead lines identified ",
MI0004090,MARINE CITY,"Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0005823,ROSEBUSH ESTATES APARTMENTS," Inventory completed, no lead lines identified ",
MI0005650,"REED CITY, CITY OF","Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0006624,TILLICUM FARMS," Inventory completed, no lead lines identified ",
MI0040574,TIMBER COUNTRY MOBILE HOME PARK," Inventory completed, no lead lines identified ",
MI0040363,TIMBERLINE ESTATES," Inventory completed, no lead lines identified ",
MI0002470,TITTABAWASSEE TOWNSHIP," Inventory completed, no lead lines identified ",
MI0040007,TOPAZ MOBILE HOME PARK," Inventory completed, no lead lines identified ",
MI0000220,ANN ARBOR,"Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0040110,TOWN AND COUNTRY MHP," Inventory completed, no lead lines identified ",
MI0040131,TRADEWINDS MOBILE HOME PARK,Inventory not received or data not complete,Inventory not received or incomplete
MI0006000,SHELBY,"Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0006647,TREETOPS RESORT (TREETOPS NORTH)," Inventory completed, no lead lines identified ",
MI0000320,AUGUSTA,"Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0006150,SOUTHEASTERN OAKLAND CO W AUTH,No service lines; wholesale only,No service lines; wholesale only
MI0006690,TROY," Inventory completed, no lead lines identified ",
MI0006693,TULLYMORE CLUBHOUSE AND CAMELOT VILLAGE," Inventory completed, no lead lines identified ",
MI0006696,TWIN LAKES SUBDIVISION," Inventory completed, no lead lines identified ",
MI0040090,TWIN PINES MOBILE HOME PARK," Inventory completed, no lead lines identified ",
MI0040410,TWIN PINES MOBILE HOME PARK," Inventory completed, no lead lines identified ",
MI0040658,TYRONE WOODS," Inventory completed, no lead lines identified ",
MI0004180,"MAYVILLE, VILLAGE OF","Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0006720,UNION CITY,100% replaced,100% replaced
MI0005130,"OXFORD, VILLAGE OF","Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0006730,"UNIONVILLE, VILLAGE OF"," Inventory completed, no lead lines identified ",
MI0040325,UNIVERSITY MOBILE ESTATES #2," Inventory completed, no lead lines identified ",
MI0002490,FREMONT,"Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0003800,LATHRUP VILLAGE,"Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0006792,V F W NATIONAL HOME," Inventory completed, no lead lines identified ",
MI0006763,VALLEY SIDE APARTMENTS," Inventory completed, no lead lines identified ",
MI0006765,VALLEYWOOD COVE CONDOMINIUM ASSOCIATION," Inventory completed, no lead lines identified ",
MI0000660,BESSEMER,"Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0002080,"ELBERTA, VILLAGE OF","Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0006790,"VERMONTVILLE, VILLAGE OF"," Inventory completed, no lead lines identified ",
MI0006072,VICINIA GARDENS," Inventory completed, no lead lines identified ",
MI0003460,"ITHACA, CITY OF","Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0040498,VIKING RIVER MOBILE HOME PARK," Inventory completed, no lead lines identified ",
MI0000350,"BALDWIN, VILLAGE OF","Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0006803,VILLA NOUVA ASSOCIATION," Inventory completed, no lead lines identified ",
